Category,Part,Mfr,Mfr PN,Distributor,Distributor URL,Qty,Unit Cost USD,Extended Cost USD,Lead Time,Notes
Structural,"6061-T6 aluminum sheet 3mm 600x500",Ryerson,6061-3MM-SHEET,McMaster-Carr,https://www.mcmaster.com/8975K241/,5,38.00,190.00,3-5 days,"5 chip-rack shelves; 535.6 x 458.4 x 3 mm water-jet or laser cut"
Structural,"6061-T6 aluminum sheet 6mm 600x500 (rack base + rocker base/top)",Ryerson,6061-6MM-SHEET,McMaster-Carr,https://www.mcmaster.com/8975K245/,3,95.00,285.00,3-5 days,"Rack base 545x495x6; rocker base 560x490x10 (use 10mm); rocker top 500x440x8"
Structural,"6061-T6 10mm plate for rocker base",Ryerson,6061-10MM-PLATE,McMaster-Carr,https://www.mcmaster.com/8975K252/,1,110.00,110.00,3-5 days,"Rocker base plate CNC milled 560x490x10 mm"
Structural,"20x20x2 aluminum square tube 6m",Metals Depot,6061-SQ-TUBE-20x20,McMaster-Carr,https://www.mcmaster.com/6546K42/,1,52.00,52.00,3-5 days,"Cut 4x 230 mm corner posts for chip rack"
Structural,"10mm stainless rod 1m (carry handle)",Metals Depot,SS-ROD-10MM-1M,McMaster-Carr,https://www.mcmaster.com/8920K25/,1,14.50,14.50,3 days,"Bend into U handle for rack"
Structural,"3mm PETG sheet 1000x600 (for FDM alt parts + tray)",Vistaplex,PETG-3MM-CLEAR,McMaster-Carr,https://www.mcmaster.com/8567K84/,4,45.00,180.00,3-5 days,"Chamber + shell walls if not printed; water tray; drip tray"
Structural,"25 mm PIR insulation sheet Kingspan Kooltherm K5 2400x1200",Kingspan,KOOLTHERM-K5-25,Kingspan (distributor Builder Depot),https://www.kingspan.com/us/en/products/insulation/,2,78.00,156.00,5-7 days,"Chamber walls (6 sides) + door foam core; ~2.5 m² total"
Structural,"Acrylic window 300x200x4 mm clear",Plaskolite,ACRYL-4MM-300x200,McMaster-Carr,https://www.mcmaster.com/8560K277/,1,22.00,22.00,3 days,"Door viewing window"
Structural,"Silicone cord gasket 3 mm x 10 m",McMaster,8694K26,McMaster-Carr,https://www.mcmaster.com/8694K26/,1,38.00,38.00,3 days,"Door + hatch gaskets; food-grade silicone"
Structural,"8 mm Neodymium magnets N52 10-pack",K&J Magnetics,D48,Amazon,https://www.amazon.com/dp/B0744R9N81,1,12.99,12.99,2 days,"Door magnetic latches (4x door + 2x hatch)"
Structural,"6 mm steel hinge pin 100 mm (pack of 4)",McMaster,98381A576,McMaster-Carr,https://www.mcmaster.com/98381A576/,1,8.50,8.50,3 days,"Door hinge"
Structural,"M6 leveling feet with M6 stud 4-pack",McMaster,23015T42,McMaster-Carr,https://www.mcmaster.com/23015T42/,1,18.00,18.00,3 days,"Enclosure leveling"
Structural,"Assorted M3/M4/M5/M6 SS hex-cap screws, washers, nuts kit",McMaster,92220A795,McMaster-Carr,https://www.mcmaster.com/92220A795/,1,95.00,95.00,3 days,"~400 pc hardware for rack/rocker/incubator assembly"
Structural,"Sorbothane 8x2 mm isolation feet 4-pack",Sorbothane,SOR-8-2-4PK,Amazon,https://www.amazon.com/dp/B01L2B082I,2,15.99,31.98,2 days,"Rocker base vibration isolation"
Structural,"PETG 3D printing filament 5 kg (for printed parts)",Prusament,PR-PETG-5KG,Prusament,https://prusament.com/petg/,2,64.00,128.00,7 days,"Chamber, manifold, drip heads, posts, etc."
Thermal control,"200 W silicone heater pad 300x300 mm 120 VAC",OMEGA,SRFG-304/10-A,McMaster-Carr,https://www.mcmaster.com/35765K76/,1,98.00,98.00,3-5 days,"Primary chamber heater; PSA back"
